id,firstName,lastName,locationAddress,contactEmail,latitude,longitude,contactPhone,vendorName,snapStatus
620,Ardra,Orans,2800 Fuller Court,aoransh7@mapquest.com,40.718952087568525,-73.71084487768947,262-364-7572,Yotz,True
697,Piotr,Mico,8837 Clove Alley,pmicojc@reference.com,40.78303590238124,-73.90533758440498,785-542-6036,Skimia,True
796,Sharron,Tripney,80 Victoria Avenue,stripneym3@vimeo.com,40.62702863261749,-74.02696939752549,822-546-6361,Skalith,True
602,Ange,Fishbourne,4776 Nova Place,afishbournegp@tripadvisor.com,42.85432607927058,-78.68111799965868,513-594-3284,Jaxworks,False
967,Creighton,Allain,589 Sunbrook Terrace,callainqu@goo.gl,42.86415865053373,-78.71292448535145,744-691-2734,Eazzy,True
979,Crystal,Hewlings,6 Aberg Terrace,chewlingsr6@spiegel.de,42.899768074936226,-78.8519655432038,877-884-1928,Geba,True
333,Josiah,Trehearn,4 Moland Junction,jtrehearn98@dagondesign.com,42.93352090600205,-75.16858917053504,593-780-5727,Twitternation,False
330,Mischa,Newtown,0684 Texas Way,mnewtown95@163.com,43.31464944632994,-75.05937121883515,930-411-5790,Yakidoo,False
470,Tamas,Menguy,55 Kings Junction,tmenguyd1@theguardian.com,43.00938409243465,-75.1151930136351,161-704-9567,Dynava,False
9,Alvera,Stadden,07862 Bonner Circle,astadden8@indiatimes.com,42.96038031407443,-75.42560928631636,247-170-3267,Minyx,False
828,Candie,Diehn,7283 Northland Lane,cdiehnmz@sphinn.com,43.0587842760184,-75.07556220267183,443-661-0606,Quamba,True
336,Cosetta,Bernardes,07912 Hayes Park,cbernardes9b@indiegogo.com,43.29958129662787,-75.31266489860182,515-313-7414,Twinder,False
835,Jaime,Vasilov,0533 Green Ridge Point,jvasilovn6@weather.com,43.23492368978382,-75.31997179537444,204-229-5387,Oodoo,False
486,Sal,Wellwood,666 Bunker Hill Alley,swellwooddh@businesswire.com,43.26271950772236,-75.0643628131369,127-268-3293,Blogtags,True
145,Torrin,Mohammed,0 Gina Center,tmohammed40@bravesites.com,43.19292529129469,-75.21319771882928,465-376-4759,Dabfeed,False
848,Loleta,Pavis,047 Grasskamp Lane,lpavisnj@noaa.gov,42.88028207772044,-75.44718547826047,678-573-3665,Zazio,False
69,Johannah,Sauter,6141 Waywood Road,jsauter1w@usgs.gov,42.85842614784311,-75.44522506997566,528-472-2973,Ozu,True
493,Hermy,Gobel,5130 School Avenue,hgobeldo@epa.gov,44.535129394481025,-73.68139620758673,579-953-3365,Fliptune,True
179,Fairfax,Brecknock,7 Northport Parkway,fbrecknock4y@businesswire.com,44.015700730849595,-75.47797842728183,384-210-9525,Gabtype,True
856,Jedd,Culross,88560 Muir Parkway,jculrossnr@tinyurl.com,43.85365623909777,-75.32224196148985,798-254-1701,Edgepulse,False
36,Leonelle,Finn,9753 Holmberg Plaza,lfinnz@tripadvisor.com,43.654806838907035,-75.52509863753953,899-914-5761,Quire,True
701,Neely,Wigglesworth,22819 Fair Oaks Terrace,nwigglesworthjg@amazon.com,43.77470833626778,-75.36173904512115,940-634-2602,Yotz,True
837,Falkner,Figgen,00 Annamark Place,ffiggenn8@cisco.com,43.60012668794941,-75.36363013638753,864-555-9734,Vitz,False
280,Harley,Girhard,56 Anniversary Place,hgirhard7r@google.es,43.8146682715088,-75.53038314764491,551-798-9695,Brainbox,True
232,Selma,Caulcutt,8617 Atwood Crossing,scaulcutt6f@weebly.com,43.84436137271653,-75.26831858259864,239-971-5619,Pixonyx,False
14,El,Taffurelli,4307 Jana Hill,etaffurellid@boston.com,43.64287693250928,-75.62922149584186,622-200-6524,Skynoodle,True
715,Gianna,Heine,65837 South Place,gheineju@soup.io,43.97150971471142,-75.30430230440169,702-622-1969,Tagpad,True
271,Marleah,Pashen,152 Cody Trail,mpashen7i@irs.gov,43.82278248077808,-75.51033135879084,594-860-4543,Tambee,False
953,Gawain,Langdale,781 Spohn Street,glangdaleqg@timesonline.co.uk,43.74339540477158,-75.72294280921193,906-255-0684,Babblestorm,False
327,Celestina,Rea,84461 Beilfuss Center,crea92@nhs.uk,43.779262876988795,-75.38812707672359,629-330-2233,Trudoo,False
608,Gaven,Cargo,5 Killdeer Crossing,gcargogv@multiply.com,43.91803479699853,-75.5238720031414,556-267-4922,Bluezoom,False
389,Emelia,Iggulden,307 Larry Avenue,eigguldenas@aol.com,42.833323958084705,-78.64713360260848,253-993-7885,Skyvu,True
378,Verge,Jendrassik,0874 Florence Street,vjendrassikah@hubpages.com,43.024165312037226,-78.3712148479516,411-550-1426,Babblestorm,True
919,Misti,Conachie,0487 Gale Circle,mconachiepi@washingtonpost.com,42.75295060768532,-78.59352460570392,513-792-1297,Buzzster,True
452,Denys,Fretwell,1014 Del Sol Street,dfretwellcj@vinaora.com,43.22333174779387,-78.33404992383987,859-195-2133,Brainverse,True
204,Marje,Carlens,91 Marquette Pass,mcarlens5n@usatoday.com,42.74243637517203,-78.7905484462117,602-746-8772,Zoonoodle,False
129,Major,Medgewick,1 Melrose Lane,mmedgewick3k@merriam-webster.com,42.72504360094608,-73.74890452890705,518-494-1196,Thoughtstorm,True
899,Gustav,Spikeings,6 Nobel Terrace,gspikeingsoy@constantcontact.com,42.557110423410236,-73.88449271184128,542-481-7072,Rhyloo,True
625,Garvey,Ballance,08 Ridgeway Parkway,gballancehc@nifty.com,42.644037757996486,-73.5593250622082,442-798-2412,Yadel,True
407,Georgianna,Eddisford,884 Lunder Avenue,geddisfordba@psu.edu,42.90852484089278,-73.81209576788163,594-559-8079,Bluezoom,False
42,Agnes,Anthony,5 Linden Alley,aanthony15@bbc.co.uk,42.91687277277375,-73.46427016113434,404-318-2779,Tagpad,False
